filename,dataset_id,sensor_id,frame_idx,col1,col2,col3
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_243_obstacle.txt,145044,fa2sd4a06W152AIR,1,1,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_243_obstacle.txt,145044,fa2sd4a06W152AIR,2,1,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_243_obstacle.txt,145044,fa2sd4a06W152AIR,3,0,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_243_obstacle.txt,145044,fa2sd4a06W152AIR,4,0,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_243_obstacle.txt,145044,fa2sd4a06W152AIR,5,0,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_243_obstacle.txt,145044,fa2sd4a06W152AIR,6,0,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_243_obstacle.txt,145044,fa2sd4a06W152AIR,7,1,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_243_obstacle.txt,145044,fa2sd4a06W152AIR,8,1,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_243_obstacle.txt,145044,fa2sd4a06W152AIR,9,0,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_243_obstacle.txt,145044,fa2sd4a06W152AIR,10,1,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_243_obstacle.txt,145044,fa2sd4a06W152AIR,11,1,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_243_obstacle.txt,145044,fa2sd4a06W152AIR,12,0,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_243_obstacle.txt,145044,fa2sd4a06W152AIR,13,0,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_243_obstacle.txt,145044,fa2sd4a06W152AIR,14,1,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_243_obstacle.txt,145044,fa2sd4a06W152AIR,15,0,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_243_obstacle.txt,145044,fa2sd4a06W152AIR,16,0,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_31_obstacle.txt,145044,fa2sd4a06W152AIR,1,0,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_31_obstacle.txt,145044,fa2sd4a06W152AIR,2,0,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_31_obstacle.txt,145044,fa2sd4a06W152AIR,3,1,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_31_obstacle.txt,145044,fa2sd4a06W152AIR,4,0,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_31_obstacle.txt,145044,fa2sd4a06W152AIR,5,0,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_31_obstacle.txt,145044,fa2sd4a06W152AIR,6,0,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_31_obstacle.txt,145044,fa2sd4a06W152AIR,7,0,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_31_obstacle.txt,145044,fa2sd4a06W152AIR,8,1,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_31_obstacle.txt,145044,fa2sd4a06W152AIR,9,1,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_31_obstacle.txt,145044,fa2sd4a06W152AIR,10,1,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_31_obstacle.txt,145044,fa2sd4a06W152AIR,11,0,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_31_obstacle.txt,145044,fa2sd4a06W152AIR,12,0,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_31_obstacle.txt,145044,fa2sd4a06W152AIR,13,1,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_31_obstacle.txt,145044,fa2sd4a06W152AIR,14,0,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_31_obstacle.txt,145044,fa2sd4a06W152AIR,15,0,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_31_obstacle.txt,145044,fa2sd4a06W152AIR,16,0,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_31_obstacle.txt,145044,fa2sd4a06W152AIR,17,1,0,0
145044_fa2sd4a06W152AIR_420_1626155724_1626155908_31_obstacle.txt,145044,fa2sd4a06W152AIR,18,0,0,0
